Gene name	Mouse gene name	Mouse homology type	dN with Mouse	dS with Mouse	Mouse orthology confidence [0 low, 1 high]
UGT1A6	Ugt1a6a	ortholog_one2many	0.1229	0.5943	1
AP002800.1					
FBXO5	Fbxo5	ortholog_one2one	0.1973	0.7395	1
SCAI	Scai	ortholog_one2one	0.0126	0.3496	1
AC087741.1					
SNRNP25	Snrnp25	ortholog_one2one	0.0075	0.8499	1
C2orf69	1700066M21Rik	ortholog_one2one	0.1185	0.4524	1
SGSH	Sgsh	ortholog_one2one	0.0545	1.1446	1
KCNAB1	Kcnab1	ortholog_one2one	0.0817	0.6097	1
TP53RK	Trp53rkb	ortholog_one2many	0.0788	0.7406	0
TP53RK	Trp53rka	ortholog_one2many	0.0827	0.7326	1
WDR36	Wdr36	ortholog_one2one	0.0611	0.4793	1
MAIP1	Maip1	ortholog_one2one	0.1452	0.4378	1
AC115284.3					
NDUFV3	Ndufv3	ortholog_one2one	0.4653	0.7903	0
MTRF1L	Mtrf1l	ortholog_one2one	0.1092	0.7007	1
CEP63	Cep63	ortholog_one2one	0.1059	0.5072	1
AL355076.3					
SDR42E1P5					
MBD4	Mbd4	ortholog_one2one	0.2062	0.5026	1
SCAANT1					
PTBP1P					
CLEC4G	Clec4g	ortholog_one2one	0.2454	0.9106	1
AL355076.1					
RBM26-AS1					
C3orf49	Gm11100	ortholog_one2one	0.2131	0.6347	1
AL355076.2					
NXF5	Nxf2	ortholog_many2many	0.3388	0.8131	0
NXF5	Nxf7	ortholog_many2many	0.3666	0.7559	0
PTH1R	Pth1r	ortholog_one2one	0.049	0.7065	1
RPL21P7					
RESF1	Resf1	ortholog_one2one	0.3564	0.8786	0
Z84492.2					
AC007278.2					
AC007278.1					
CAVIN2	Cavin2	ortholog_one2one	0.0929	0.8717	1
CYB561D2	Cyb561d2	ortholog_one2one	0.025	0.4372	1
IL18RAP	Il18rap	ortholog_one2one	0.2462	0.5611	1
CLIC3	Clic3	ortholog_one2one	0.0475	1.8595	1
AC104162.1					
CAVIN2-AS1					
CCT6A	Cct6a	ortholog_one2one	0.0656	0.6348	1
AC078860.2					
LINC02168					
THOC7-AS1					
BLVRA	Blvra	ortholog_one2one	0.1123	0.584	1
THOC7	Thoc7	ortholog_one2one	0.013	0.5168	1
Z84492.1					
AC103831.1					
AC021915.1					
DDX50	Ddx50	ortholog_one2one	0.0203	0.318	1
RPL34P17					
DNAJB1P1					
EEF1B2P1					
CARD14	Card14	ortholog_one2one	0.1298	1.3396	1
AC025572.1					
AIF1L	Aif1l	ortholog_one2one	0.0166	0.5039	1
SLC25A5P9					
AC108120.3					
ERC2	Erc2	ortholog_one2one	0.0089	0.557	1
CACNA2D2	Cacna2d2	ortholog_one2one	0.015	0.4711	1
AC007787.2					
AC007787.1					
BIN2P2					
AC108120.2					
AC005189.1					
CD3E	Cd3e	ortholog_one2one	0.2712	0.7011	1
MAFG-DT					
AC131056.2					
RARG	Rarg	ortholog_one2one	0.0117	0.6842	1
ATXN7	Atxn7	ortholog_one2many	0.0755	0.3302	1
ELP3	Elp3	ortholog_one2one	0.0294	0.5598	1
NDST1	Ndst1	ortholog_one2one	0.0099	0.5758	1
TDRD1	Tdrd1	ortholog_one2one	0.1768	0.761	1
UGT1A7	Ugt1a9	ortholog_many2many	0.1243	0.6454	1
UGT1A7	Ugt1a8	ortholog_many2many	0.1396	0.6579	1
UGT1A7	Ugt1a10	ortholog_many2many	0.1289	0.6292	1
AL023803.3					
AL645924.2					
NPM1P19					
GLS2	Gls2	ortholog_one2one	0.0283	0.4184	1
TSLP	Tslp	ortholog_one2one	0.6056	0.6426	0
AC025470.1					
DHX35	Dhx35	ortholog_one2one	0.026	0.4857	1
CFAP99	Cfap99	ortholog_one2one	0.1645	0.9945	1
SALL4P1					
RPS2P41					
ACTBL2	Actbl2	ortholog_one2one	0.0147	0.5288	1
AC025470.2					
MAPKAPK5	Mapkapk5	ortholog_one2many	0.0141	0.4147	1
MAPKAPK5	Gm42878	ortholog_one2many	0.0174	0.4142	1
AC104162.2					
AC008572.1					
PA2G4	Pa2g4	ortholog_one2many	0.0048	0.356	1
AL645924.1					
ATXN7	Atxn7	ortholog_one2many	0.0791	0.3385	1
BPIFB1	Bpifb1	ortholog_one2one	0.2978	0.8327	1
RPL39P					
CASS4	Cass4	ortholog_one2one	0.2245	0.7245	1
UGT1A3	Ugt1a5	ortholog_many2many	0.1488	0.7347	1
UGT1A3	Ugt1a2	ortholog_many2many	0.1546	0.6054	1
SYT3	Syt3	ortholog_one2one	0.0176	0.6479	1
UGT1A1	Ugt1a1	ortholog_one2one	0.1299	0.5969	1
NDST1-AS1					
AC009779.3					
U62317.3					
UGT1A4	Ugt1a5	ortholog_many2many	0.1491	0.732	1
UGT1A4	Ugt1a2	ortholog_many2many	0.1638	0.5857	1
CPT1B	Cpt1b	ortholog_one2one	0.0665	0.6429	1
AL590095.1					
DUSP7	Dusp7	ortholog_one2one	0.0058	0.6401	1
NFKB1	Nfkb1	ortholog_one2one	0.0748	0.5759	1
AC003092.1					
AC025518.1					
NRF1	Nrf1	ortholog_one2one	0.0947	0.4738	1
AC022511.1					
AC020907.3					
PPIAP52					
SNIP1	Snip1	ortholog_one2one	0.0763	0.596	1
AC020907.4					
LINC02384					
AC131159.1					
WSB2	Wsb2	ortholog_one2one	0.0179	0.5432	1
GRAMD1A	Gramd1a	ortholog_one2one	0.0271	0.8257	1
ZDHHC13	Zdhhc13	ortholog_one2one	0.0476	0.3068	1
NDEL1	Ndel1	ortholog_one2one	0.0192	0.3462	1
ERC2-IT1					
AC087045.2					
AC008033.3					
AC087045.3					
AC008033.1					
AC017037.1					
AC083843.4					
AC008033.2					
AC093817.1					
AC083843.3					
AC017037.3					
FTH1P1					
RPSAP12					
LINC02433					
ZNF280C	Zfp280c	ortholog_one2one	0.2142	0.4658	1
AC003092.2					
GOLGA1	Golga1	ortholog_one2one	0.11	0.5246	1
ADAM1A					
AC093817.2					
MAPKAPK5-AS1					
AL512324.3					
AC007599.2					
AC084740.1					
AC017037.4					
NDUFA5P11					
AC025810.1					
AC017037.2					
AC034102.4					
FBXO32	Fbxo32	ortholog_one2one	0.0146	0.4893	1
AC026117.1					
LINC02128					
AC007599.1					
AC017037.5					
AC007533.2					
CLDN22					
ANAPC13	Anapc13	ortholog_one2one	0.032	0.6633	1
WWC2-AS1					
MRPS24	Mrps24	ortholog_one2one	0.0902	0.5895	1
AC007494.3					
ERBB3	Erbb3	ortholog_one2one	0.0496	0.4893	1
LINC01703					
WWC2	Wwc2	ortholog_one2one	0.0707	0.6578	1
AC026185.1					
LINC02164					
AC026458.2					
AC022001.3					
LRRC41	Lrrc41	ortholog_one2one	0.0219	0.3177	1
AL512343.1					
ENPP7P14					
AC020915.1					
AC022001.2					
AC074051.2					
ZNF8	Zfp128	ortholog_one2one	0.1565	0.6276	1
AC022001.1					
AC074051.5					
AC018463.1					
ACBD3-AS1					
ACBD3	Acbd3	ortholog_one2one	0.0553	0.4574	1
MYL3	Myl3	ortholog_one2one	0.0199	0.5543	1
C19orf81	1700008O03Rik	ortholog_one2one			1
ROCK2	Rock2	ortholog_one2one	0.0159	0.4467	1
AC091607.1					
SLAMF9	Slamf9	ortholog_one2one	0.3001	0.5785	1
ZSCAN22	Zscan22	ortholog_one2one	0.153	0.7491	1
KCNAB1-AS1					
KCNAB1-AS2					
CMTR2	Cmtr2	ortholog_one2one	0.1193	0.788	1
URGCP	Urgcp	ortholog_one2one	0.0687	0.7392	1
VGLL4	Vgll4	ortholog_one2one	0.0379	0.8381	1
AL035423.1					
ALG1L15P					
AC098679.3					
MRE11P1					
ERVK3-1					
AC098679.4					
AC138512.1					
SSR3	Ssr3	ortholog_one2one	0.0051	0.3768	1
ZNF469	Zfp469	ortholog_one2one	0.4074	0.9064	0
AC083843.2					
AC083843.1					
RFC5	Rfc5	ortholog_one2one	0.0356	0.6155	1
AC103764.1					
AC073046.2					
AC114812.2					
RPL23AP56					
UGT1A2P					
ZFPM1	Zfpm1	ortholog_one2one	0.1239	1.2204	1
AC114812.3					
ZNF544					
AC106736.1					
UGT1A13P					
LINC01591					
POC1A	Poc1a	ortholog_one2one	0.0457	0.4073	1
AKIRIN1P1					
AC074031.1					
UGT1A5	Ugt1a5	ortholog_many2many	0.1628	0.7434	1
UGT1A5	Ugt1a2	ortholog_many2many	0.17	0.6402	1
PTPRQ	Ptprq	ortholog_one2one	0.0719	0.5688	1
AC018628.3					
MED13	Med13	ortholog_one2one	0.0296	0.2953	1
DESI1	Desi1	ortholog_one2one	0.0142	0.2729	1
WASF1	Wasf1	ortholog_one2one	0.0081	0.3758	1
RAD54L	Rad54l	ortholog_one2one	0.0286	0.4194	1
AC116552.1					
LINC02579					
URGCP-MRPS24					
AC091607.2					
AC084036.1					
ENO1P3					
ITGB5-AS1					
SLC26A11	Slc26a11	ortholog_one2one	0.0985	0.7545	1
TUBG1P					
ITGB5	Itgb5	ortholog_one2one	0.0634	0.6912	1
AC108120.1					
AC007365.1					
SERTAD2	Sertad2	ortholog_one2one	0.0698	0.3799	1
AC114812.4					
SAP18P1					
EID1	Eid1	ortholog_one2one	0.1654	2.4446	1
AC026774.2					
UGT1A10	Ugt1a9	ortholog_many2many	0.1278	0.6785	1
UGT1A10	Ugt1a8	ortholog_many2many	0.1406	0.6776	1
UGT1A10	Ugt1a10	ortholog_many2many	0.1316	0.6855	1
ZC3H18	Zc3h18	ortholog_one2one	0.0484	0.6172	1
AC091073.2					
AC007365.2					
SHC4	Shc4	ortholog_one2one	0.1191	0.4142	1
ZBTB43	Zbtb43	ortholog_one2one	0.0333	0.5337	1
AC097637.3					
AC018628.2					
THAP2					
TINF2	Tinf2	ortholog_one2one	0.228	0.6022	1
AC090193.1					
ALDOAP1					
TIPARP	Tiparp	ortholog_one2one	0.0348	0.3541	1
ERVH48-1					
KLHL38	Klhl38	ortholog_one2one	0.0831	0.7231	1
AP001630.1					
AL024474.2					
AC135166.1					
TMEM19	Tmem19	ortholog_one2one	0.0697	0.6191	1
PDCD5P2					
AC113404.1					
AC131159.2					
UTRN	Utrn	ortholog_one2one	0.0695	0.6203	1
AC020663.1					
SV2C	Sv2c	ortholog_one2one	0.0134	0.5807	1
FDPSP1					
AL357559.1					
AL391813.1					
ERVMER61-1					
CHKB-CPT1B	Gm44502	ortholog_many2many	0.9735	67.7897	0
CHKB-CPT1B	Chkb	ortholog_many2many	0.0708	0.7762	0
Z68868.1					
ZMAT1	Zmat1	ortholog_one2one	0.2712	0.4807	1
PAEP	Lcn11	ortholog_one2one	0.9255	8.47	0
CCDC61	Ccdc61	ortholog_one2one	0.0738	0.7394	1
ITGAV	Itgav	ortholog_one2one	0.0399	0.5225	1
UGT1A9	Ugt1a9	ortholog_many2many	0.1283	0.6474	1
UGT1A9	Ugt1a8	ortholog_many2many	0.1402	0.655	1
UGT1A9	Ugt1a10	ortholog_many2many	0.1305	0.6546	1
AC097104.1					
AC073612.1	Thap2	ortholog_one2one	0.1474	0.4533	0
MIP	Mip	ortholog_one2one	0.0368	0.3869	1
AC110771.1					
AC034102.2	Pa2g4	ortholog_one2many			0
AC022868.2					
AC010642.1					
AC021072.1	Gm9918	ortholog_one2one	0.2099	0.969	1
CHKB	Gm44502	ortholog_many2many	0.1298	0.8445	0
CHKB	Chkb	ortholog_many2many	0.071	0.6062	1
AC020915.3					
AC098934.4					
ACAA1	Acaa1b	ortholog_one2many	0.0745	0.4986	1
ACAA1	Acaa1a	ortholog_one2many	0.0788	0.5131	0
AC022336.4					
SLC4A1APP2					
ZFC3H1	Zfc3h1	ortholog_one2one	0.0416	0.4227	1
AC020915.5					
GYG1P1					
TIPARP-AS1					
IL17C	Il17c	ortholog_one2one			1
AL645474.1					
EEF1A2	Eef1a2	ortholog_one2one			1
AC010642.2					
SPRYD4	Spryd4	ortholog_one2one	0.0826	0.2961	1
AC113404.2					
AL136372.1					
METTL15P1					
AL136372.2					
AC026774.1					
HMGN2P4					
RPL31P63					
PA2G4P4					
AC113404.3					
AC016877.3					
LINC00886					
COX6CP12					
AC020915.2					
PGLYRP1	Pglyrp1	ortholog_one2one	0.1809	1.049	1
UQCRC1	Uqcrc1	ortholog_one2one	0.0658	0.5361	1
ATP5PBP7					
RPL17P11					
LY6G5C					
NUAK2	Nuak2	ortholog_one2one	0.0673	0.7169	1
KARS1	Kars	ortholog_one2one	0.0397	0.4312	1
AC010547.6					
ANKS3	Anks3	ortholog_one2one	0.0959	0.6575	1
XAGE1A					
COL4A6	Col4a6	ortholog_one2one	0.138	0.434	1
LINC02136					
GLRA2	Glra2	ortholog_one2one	0.0071	0.3136	1
PKNOX1	Pknox1	ortholog_one2one	0.0186	0.6172	1
CALB2	Calb2	ortholog_one2one	0.0063	0.5944	1
ADAMTS8	Adamts8	ortholog_one2one	0.0987	0.6875	1
AC008780.1					
FCGRT	Fcgrt	ortholog_one2one	0.2207	1.4848	1
KLF3P2					
ANXA13					
LEKR1	Lekr1	ortholog_one2one	0.2866	0.5396	1
VAMP7	Vamp7	ortholog_one2one	0.2491	0.6262	1
ABHD3	Abhd3	ortholog_one2one	0.0342	0.5846	1
RBM22P7					
VIL1	Vil1	ortholog_one2one	0.0527	0.64	1
AC008780.2					
STARD8	Stard8	ortholog_one2one	0.0728	0.5548	1
XAGE1B					
P4HA3-AS1					
AC106822.1					
LINC02225					
BPIFB5P					
PPME1	Ppme1	ortholog_one2one	0.0096	0.3677	1
MYOZ2	Myoz2	ortholog_one2one	0.057	0.4766	1
AC016931.1					
EPHB1	Ephb1	ortholog_one2one	0.0051	0.4619	1
AC117392.1					
LGI2	Lgi2	ortholog_one2one	0.0097	0.4812	1
ZBTB34	Zbtb34	ortholog_one2one	0.0314	0.5636	1
AC040914.1					
Z98749.1					
AC114341.2					
AC083855.1					
TPTEP2-CSNK1E	Csnk1e	ortholog_one2many	0.0051	0.6924	1
LINC02127					
LINC00881					
BX510359.6					
AC106037.3					
TPTEP2					
BX510359.2					
AC106037.2					
UBR1	Ubr1	ortholog_one2one	0.0395	0.4805	1
BX510359.4					
BX510359.3					
AC002094.1					
PPIAP43					
BDP1					
VTN	Vtn	ortholog_one2one	0.156	0.6933	1
AC027688.1					
H2BP8					
SSXP4					
AC027688.2					
ADAM1B					
IBTK	Ibtk	ortholog_one2one	0.0734	0.568	1
Z80107.1					
AC009166.3					
AC084864.2					
AL596211.1					
SOD1P2					
AC092656.1					
AC084864.1					
MFSD5	Mfsd5	ortholog_one2one	0.0202	0.5589	1
LINC02029					
MUC13	Muc13	ortholog_one2one	0.5361	1.0114	0
USP53	Usp53	ortholog_one2one	0.1359	0.5895	1
OSR2	Osr2	ortholog_one2one	0.0687	0.5383	1
AC008453.2					
MAPK8IP2	Mapk8ip2	ortholog_one2one	0.0622	1.0492	1
SYNPO	Synpo	ortholog_one2one	0.1024	0.5757	1
ALAS1	Alas1	ortholog_one2one	0.0433	0.5043	1
SRP68	Srp68	ortholog_one2one	0.0184	0.6314	1
AL592447.1					
CDK16	Cdk16	ortholog_one2one	0.0124	0.3478	1
AC009166.1					
AP001351.1					
WNK3	Wnk3	ortholog_one2one	0.1047	0.3241	1
AC137494.1					
BARX2	Barx2	ortholog_one2one	0.0567	0.4663	1
LINC00880					
SALL1	Sall1	ortholog_one2one	0.0483	0.4278	1
TMEM199	Tmem199	ortholog_one2one	0.0617	0.5877	1
SPP2	Spp2	ortholog_one2one	0.2032	0.7532	1
TLE7	Tle7	ortholog_one2one			1
AC011383.1					
ARHGAP42	Arhgap42	ortholog_one2one	0.0183	0.6076	1
AC010547.5					
AC009166.2					
SEPSECS	Sepsecs	ortholog_one2one	0.068	0.4315	1
AC007344.1					
USP37	Usp37	ortholog_one2one	0.0465	0.4234	1
ACTR3P2					
AC087564.1					
HEG1	Heg1	ortholog_one2one	0.2506	0.5162	1
CPHXL	Cphx1	ortholog_many2many	0.7038	1.2249	0
CPHXL	Cphx3	ortholog_many2many	0.7038	1.2249	0
CPHXL	Cphx2	ortholog_many2many	0.7038	1.2249	0
KLKB1	Klkb1	ortholog_one2one	0.1423	0.6324	1
CHKB-DT					
C2CD3	C2cd3	ortholog_one2one	0.1414	0.338	1
AC025287.4	Cphx1	ortholog_many2many	0.6863	1.1617	0
AC025287.4	Cphx3	ortholog_many2many	0.6863	1.1617	0
AC025287.4	Cphx2	ortholog_many2many	0.6863	1.1617	0
AC137527.1					
AC092969.1					
AC025287.5					
UNGP1					
DUXB					
CCNL1	Ccnl1	ortholog_one2one	0.0105	0.3018	1
TERF2IP	Terf2ip	ortholog_one2one	0.0813	0.5502	1
AC069421.1					
AC069421.3					
AC002094.4					
AC069421.2					
AC002094.5					
FAHD1	Fahd1	ortholog_one2one	0.0972	1.0415	1
AC002094.3					
AL844853.1					
LINC02038					
CSNK1E	Csnk1e	ortholog_one2many	0.0051	0.6924	1
AC015917.2					
AP001160.3					
KY	Ky	ortholog_one2one	0.0502	0.6128	1
MPI	Mpi	ortholog_one2one	0.0843	0.3669	1
SARM1	Sarm1	ortholog_one2one	0.0286	0.8007	1
TAF6L	Taf6l	ortholog_one2one	0.0319	0.7103	1
MAPRE1P1					
AC131238.1					
KHDRBS3	Khdrbs3	ortholog_one2one	0.0136	0.4896	1
HSBP1L1	Hsbp1l1	ortholog_one2one	0.2195	0.8305	1
VSIG10	Vsig10	ortholog_one2one	0.2005	0.8914	1
AC138832.2					
HAGH	Hagh	ortholog_one2one	0.0637	0.8632	1
AC018665.1					
ZACN					
TXNL4A	Txnl4a	ortholog_one2one	0	0	1
HLA-DPA3					
USP30	Usp30	ortholog_one2one	0.0518	0.5905	1
HCG24					
PLAC8	Plac8	ortholog_one2one	0.0961	0.8107	1
UBE2H	Ube2h	ortholog_one2one	0	0	1
LINC01734					
PCLO	Pclo	ortholog_one2one	0.0877	0.5435	1
AL035251.1					
SSXP1					
ATG3P1					
AL133485.3					
AC024559.2					
TMEM179B	Tmem179b	ortholog_one2one	0.1163	0.3308	1
AL132981.1					
AL450023.2					
LINC02026					
CYP4V2	Gm45753	ortholog_one2many	0.0633	0.8721	0
CYP4V2	Cyp4v3	ortholog_one2many	0.098	0.7144	1
TMEM115	Tmem115	ortholog_one2one	0.0304	0.6211	1
AC105430.1					
GALR2	Galr2	ortholog_one2one			1
AC078785.3					
AC074044.1					
AC002094.2					
LINC02028					
AC078785.2					
MTND6P13					
AC099511.1					
SEBOX	Sebox	ortholog_one2one	0.2842	0.4575	1
RPL7AP71					
AP001160.2					
NPRL2	Nprl2	ortholog_one2one	0.0083	0.6209	1
AC007785.3					
RPL18P13					
TMEM223	Tmem223	ortholog_one2one	0.1895	0.7341	1
SLC46A1	Slc46a1	ortholog_one2one	0.0752	0.708	1
PCAT6					
AC010528.1					
GTPBP8	Gtpbp8	ortholog_one2one	0.1505	0.5064	1
EXOC7	Exoc7	ortholog_one2one	0.0163	0.6551	1
AL513475.2					
AL590704.1					
IGFL4	Igfl3	ortholog_one2one	0.5997	22.274	0
Z70719.1					
AL513475.1					
TCEAL6	Tceal5	ortholog_many2many	0.2073	0.63	0
TCEAL6	Tceal6	ortholog_many2many	0.1947	0.5957	1
TCEAL6	Tceal3	ortholog_many2many	0.1894	0.6283	0
FAM171B	Fam171b	ortholog_one2one	0.0587	0.4693	1
AL929288.1					
AL929288.2					
C8orf31					
RPS3AP9					
KIR2DL5A					
TCEAL2					
LILRA1					
AL691515.1					
UBXN4	Ubxn4	ortholog_one2one	0.0541	0.569	1
AL691515.2					
LINC02101					
HNRNPA1P48					
SOCS5P3					
AC017101.1					
AC079799.1					
AC010547.3					
AC097637.2					
LINC01571					
PPP2R2DP1					
AC008786.1					
TPRKBP1					
LINC01035					
IGHV4-4					
CLPTM1LP1					
ZNF23	Zfp612	ortholog_one2one	0.1461	0.6954	1
BPIFB9P					
AC244226.1					
AK3P2					
USP30-AS1					
SLC9A4	Slc9a4	ortholog_one2one	0.0938	0.6548	1
GAPDHP75					
PGAM1P1					
IGHV2-5					
AC236721.1					
DLEC1	Dlec1	ortholog_one2one	0.1905	0.7904	1
C16orf97					
LY6L					
LINC01701					
AC006037.2					
AC006037.1					
AP000577.2					
AC122134.1					
KIR3DS1					
AL591504.2					
AL591504.1					
AC097713.2					
TLR9	Tlr9	ortholog_one2many	0.1648	1.1169	1
P4HA3	P4ha3	ortholog_one2one	0.1208	0.5209	1
AC062037.4					
AC097713.3					
AC097637.1	Tlr9	ortholog_one2many	0.1654	1.1205	1
AC247036.4					
ADAMTS15	Adamts15	ortholog_one2one	0.0331	0.6559	1
AC247036.3					
AP001582.1					
AP004290.1					
AC097713.1					
ZNF502					
AC105328.1					
HSPE1P9					
AC016877.1					
AC009039.1					
CLIP1-AS1					
LINC01891					
TWF2	Twf2	ortholog_one2one	0.0152	0.8996	1
ABHD12B	Abhd12b	ortholog_one2one	0.1717	0.554	1
AC009039.2					
AC016957.2					
NDFIP2	Ndfip2	ortholog_one2one	0.0911	0.4295	1
LYL1	Lyl1	ortholog_one2one	0.1289	0.8302	1
SH2D6	Sh2d6	ortholog_one2one	0.2038	0.4508	0
MGAT4EP					
ARL4C	Arl4c	ortholog_one2one	0	0	1
CLIP1	Clip1	ortholog_one2one	0.0538	0.5045	1
PDCD11	Pdcd11	ortholog_one2one	0.1074	0.5704	1
AC098934.1					
AC010528.2					
LINC02125					
AP004371.1					
LINC01173					
AC108125.1					
LINC02044					
AC104394.1					
VPS13B	Vps13b	ortholog_one2one	0.0689	0.454	1
AC078785.1					
AC010148.1					
SEPSECS-AS1					
LINC02055					
CNTNAP4	Cntnap4	ortholog_one2many	0.0729	0.5774	1
AC104662.1					
AC016957.1					
AL359976.1					
PI4K2B	Pi4k2b	ortholog_one2one	0.1011	0.4542	1
SLCO1C1	Slco1c1	ortholog_one2one	0.1289	0.6129	1
CR388215.1					
AC010547.4					
AC104411.2					
KRT18P34					
KIR2DS5					
NEPRO	Nepro	ortholog_one2one	0.2523	0.5706	1
ANAPC16	Anapc16	ortholog_one2one	0	0	1
PFKL	Pfkl	ortholog_one2one	0.0289	0.9206	1
ELOC	Eloc	ortholog_one2one	0.0093	0.4205	1
IGFL3					
KIR2DS1					
TAT	Tat	ortholog_one2one	0.0435	0.6273	1
DPPA2P3					
SIDT1	Sidt1	ortholog_one2one	0.0416	0.5547	1
AC024559.1					
BEX5					
AC080129.1					
AP000471.1					
PCNT	Pcnt	ortholog_one2one	0.2792	1.0743	1
AC080129.2					
AC006262.1					
FUT1	Fut1	ortholog_one2one	0.1471	1.1096	1
NDFIP2-AS1					
RPS29P9					
AC131056.6					
TCP11X3P					
MYOZ3	Myoz3	ortholog_one2one	0.1427	0.7901	1
HES1	Hes1	ortholog_one2one	0.0081	0.3992	1
RPL15P14					
AC131056.7					
PPIAP4					
LINC01857					
IGFL1P1					
AC131056.4					
AL096840.3					
AC007785.1					
IGFL2					
SEC23A	Sec23a	ortholog_one2one	0.0048	0.4276	1
AL031722.1					
PYGL	Pygl	ortholog_one2one	0.0257	0.5296	1
MYF6	Myf6	ortholog_one2one	0.0208	0.3474	1
AP002392.1					
ASCC1	Ascc1	ortholog_one2one	0.1527	0.9032	1
AC023781.1					
AC005383.1					
MEIOB	Meiob	ortholog_one2one	0.0816	0.4151	1
AC010547.2					
AC103955.1					
VWA2	Vwa2	ortholog_one2one	0.1099	0.6934	1
LINC02037					
AC011601.1					
PABPC1P11					
MYF5	Myf5	ortholog_one2one	0.0501	0.6302	1
LINC00919					
LINC02036					
ZNF19					
SH3GL2	Sh3gl2	ortholog_one2one	0.0051	0.5275	1
SIDT1-AS1					
IGFL2-AS1					
AURKAP2					
LINC01490					
AC114781.2					
LINC02048					
AC008453.1					
ALKBH2	Alkbh2	ortholog_one2one	0.1229	1.1055	1
AC114781.3					
SSX8P					
AC114781.1					
SIRT2	Sirt2	ortholog_one2one	0.0685	0.6321	1
TGIF1P1					
AC244505.4					
AL513478.2					
AC244505.2					
AC007785.2					
AC117469.1					
SSX7	Ssxa1	ortholog_one2many	0.5017	0.9698	0
AL513478.3					
LINC00887					
AL591479.1					
AC092944.2					
AC006262.2					
PTX3	Ptx3	ortholog_one2one	0.0989	0.4703	1
RBPJP2					
AC026471.2					
BAK1P2					
RAB28P4					
AC026471.3					
AC092944.1					
LINC01800					
ATP5F1AP10					
C11orf44					
SDR42E1P4					
AC244505.3					
AC007880.2					
AP003486.2					
C16orf58	BC017158	ortholog_one2one	0.1033	0.5231	1
FKBP4P8					
AC244505.7					
PPP1R10P1					
BRWD3	Brwd3	ortholog_one2one	0.0252	0.4038	1
SSXP5					
AC244505.5					
RPL18AP2					
SSX2	Ssxa1	ortholog_one2many	0.7911	0.9094	0
BCL6B	Bcl6b	ortholog_one2one	0.0465	0.4988	1
CPN2	Cpn2	ortholog_one2one			1
LCT-AS1					
USF3	Usf3	ortholog_one2one	0.0875	0.4033	1
ZNF501					
LCT	Lct	ortholog_one2one	0.1249	0.7474	1
ZC3HC1	Zc3hc1	ortholog_one2one	0.0854	0.5064	1
AP001531.1					
AP005899.2					
VEPH1	Veph1	ortholog_one2one	0.0842	0.4761	1
RPS4XP19					
AC012557.1					
LRRC15	Lrrc15	ortholog_one2one	0.0969	0.9235	1
PSMD6-AS1					
PSMD6	Psmd6	ortholog_one2one	0.0095	0.5711	1
GP5	Gp5	ortholog_one2one	0.1797	0.7092	1
BAMBI	Bambi	ortholog_one2one	0.0316	0.5329	1
LINC02551					
AP000866.6					
AP000866.4					
SH3BP4	Sh3bp4	ortholog_one2one	0.0396	0.9397	1
AP000866.1					
AP003486.1					
CHST4	Chst4	ortholog_one2one	0.1683	0.923	1
TMEM67	Tmem67	ortholog_one2one	0.0799	0.532	1
ESPL1	Espl1	ortholog_one2one	0.1404	0.501	1
AL450023.1					
LINC01502					
AL358334.1					
AL512504.1					
AL450023.3					
TAT-AS1					
AL358334.3					
NUP54	Nup54	ortholog_one2one	0.0188	0.5889	1
TASOR	Tasor	ortholog_one2one	0.0973	0.3897	1
LINC02245					
SSX2B	Ssxa1	ortholog_one2many	0.7911	0.9094	0
AL118523.1					
CBR1	Gm5678	ortholog_one2many	0.0901	0.75	1
CBR1	Cbr1	ortholog_one2many	0.0706	0.75	1
NOG	Nog	ortholog_one2one	0.0035	0.5293	1
AC010547.1					
SNRPCP2					
PAEPP1					
RBFADN					
SLC1A4	Slc1a4	ortholog_one2one	0.0587	0.5606	1
HSPE1P1					
AC117488.1					
AL354761.1	Gm13539	ortholog_one2one	0.2637	1.1523	1
RPS6KA4	Rps6ka4	ortholog_one2one	0.0185	0.9796	1
MSANTD2	Msantd2	ortholog_one2one	0.0146	0.2568	1
CLDN24					
FAM219B	Fam219b	ortholog_one2one	0.0876	0.4021	1
RBFA	Rbfa	ortholog_one2one	0.2736	0.9448	1
AL513485.1					
AC106741.2	Cntnap4	ortholog_one2many	0.0743	0.5943	1
LINC01133					
SEC23A-AS1					
CBX2	Cbx2	ortholog_one2one	0.0785	0.9561	1
SEMA3E	Sema3e	ortholog_one2one	0.052	0.6429	1
AP000688.2					
AL109628.1					
SLC5A2	Slc5a2	ortholog_one2one	0.0503	0.8919	1
AC106734.1					
AP000688.3					
AC012557.2					
AC106729.1					
AP000688.1					
PSMD6-AS2					
PEBP1	Pbp2	ortholog_one2one	0.0911	0.7227	0
AP000866.3					
TBL2	Tbl2	ortholog_one2one	0.0599	0.7802	1
ELOCP24					
TRPC6P					
AC073320.2					
F7	F7	ortholog_one2one	0.1809	0.9999	1
IGHV3-15					
CHP2	Chp2	ortholog_one2one	0.0966	0.6045	1
AC114814.1					
AC090360.1					
AC114814.2					
SETD4	Setd4	ortholog_one2one	0.1321	0.7709	1
AC106858.1					
CBX8	Cbx8	ortholog_one2one	0.0321	0.6858	1
