Gene,n
LRRC49,643.0
CAP1,58.0
NAT16,156.0
BEST1,605.0
OC90,494.0
UNC5D,530.0
RPE,158.0
EFHD1,100.0
RASAL1,777.0
NCF1,146.0
CDC42BPA,985.0
KLF11,163.0
ZNF146,293.0
CTAG1A,169.0
ARF3,145.0
PDZK1,264.0
IMPA1,337.0
DNAJB6,212.0
COMMD3,150.0
RASGRP3,112.0
PRPSAP1,104.0
DYRK3,243.0
C1S,356.0
TRAPPC12,228.0
DDX56,186.0
SLC5A6,154.0
ALG5,295.0
PSMA7,188.0
RCAN1,118.0
DNASE1L1,85.0
CT45A6,190.0
DNAJA4,371.0
TRAF4,438.0
CD200R1L,251.0
CACFD1,114.0
COPS7B,63.0
MOGAT1,336.0
PTPRN,67.0
KCNJ15,39.0
MTX2,208.0
ITFG3,243.0
FBXO3,416.0
C1orf122,160.0
CMPK1,180.0
CHFR,653.0
ASS1,179.0
VPS8,1337.0
AARSD1,85.0
PROM1,866.0
RNPEPL1,114.0
DHTKD1,215.0
HHATL,117.0
ZNF491,139.0
FNBP1,569.0
AKIRIN1,148.0
GGT1,127.0
RHBDD1,124.0
WDTC1,616.0
DOCK5,1091.0
ZNF343,144.0
AC006156.1,260.0
SRSF5,139.0
BBS9,146.0
MDH1B,421.0
FIG4,602.0
CERK,186.0
BACE1,458.0
TBL2,65.0
ABCB5,132.0
RAN,235.0
AK9,227.0
PIGV,266.0
GCAT,177.0
SERPINB8,164.0
EFCAB4A,295.0
FOXK1,571.0
LANCL2,41.0
ZNF259,431.0
NEDD9,44.0
ABCB9,684.0
ST7,87.0
LPP,47.0
NBPF12,3332.0
KIAA0930,387.0
ELP6,61.0
SCIN,469.0
RP1-309K20.6,59.0
GDPD5,136.0
HSCB,106.0
ABCC5,213.0
MED15,124.0
SPACA7,112.0
RPA2,179.0
BAG3,325.0
MUC20,710.0
MAD2L2,198.0
HACL1,497.0
SPRED2,433.0
NPR2,165.0
GUCY1A3,139.0
TMBIM1,73.0
LRRC9,1454.0
SMPD4,211.0
SF3A1,64.0
APEH,55.0
DOCK9,203.0
SLMAP,791.0
SYNE1,8750.0
C10orf10,84.0
RNF123,26.0
SORBS2,71.0
LRP5L,225.0
MED15,120.0
MORC2,192.0
NME6,61.0
HORMAD2,92.0
MOGS,732.0
PHACTR2,178.0
MID2,706.0
TMEM106B,25.0
HMGXB4,493.0
ITFG3,87.0
SMPD4,608.0
ERAP1,942.0
OAS1,415.0
CNOT4,711.0
CTD-2369P2.10,143.0
POU5F1,165.0
ARHGAP21,1131.0
EDEM1,54.0
NCOA7,178.0
CPSF4,212.0
AC018816.3,48.0
BRD2,682.0
TM4SF20,14.0
PLD1,235.0
HLA-B,363.0
DHX35,168.0
ATP6AP2,259.0
C6orf136,434.0
ZNF668,164.0
HMGCR,18.0
DUSP11,274.0
DPAGT1,227.0
TNS1,24.0
APOBEC3H,184.0
ANKUB1,545.0
XPC,904.0
FBXO6,250.0
PHYHD1,47.0
CBS,150.0
HSF2BP,227.0
IL2RB,88.0
HBG2,31.0
NELFE,351.0
UBXN11,185.0
PICK1,38.0
MTG2,233.0
HIVEP1,240.0
ELP2,892.0
MDH1,67.0
UCHL5,184.0
CFLAR,385.0
TOP3B,47.0
IRAK1,392.0
SMIM1,5.0
HFM1,151.0
SLC6A6,95.0
ATP1A2,715.0
IFRD1,62.0
PKM,517.0
KLK1,161.0
USP40,1248.0
STK25,163.0
ATIC,108.0
NRXN2,293.0
PROSER2,85.0
PIK3R5,881.0
SPRED2,416.0
HDAC6,161.0
MYO9A,2530.0
SLC4A7,1207.0
NLRP11,1034.0
WDR76,228.0
SLC35A2,243.0
SWT1,160.0
MAD2L1BP,307.0
FUOM,111.0
C2orf88,30.0
BDH1,50.0
TMEM25,307.0
C2,203.0
DOCK9,116.0
CAND2,111.0
CECR1,135.0
TBX15,331.0
BAK1,154.0
CCDC12,102.0
KRIT1,34.0
GARNL3,110.0
MAP3K13,823.0
KLHL22,295.0
TSPY1,309.0
MB,143.0
ALOXE3,712.0
CD44,295.0
FLOT1,60.0
SEMA4C,201.0
SH2D5,424.0
HAP1,74.0
AP4M1,139.0
GBP3,137.0
DHRSX,122.0
MRPS25,130.0
TUBA4A,153.0
STAT5A,792.0
TCOF1,1526.0
CRY2,615.0
GPR146,315.0
HSPD1,221.0
TRMT2A,142.0
AC083862.1,40.0
WISP3,220.0
JMJD8,305.0
TOX4,170.0
POR,681.0
TLE6,154.0
AIM1,316.0
CARF,190.0
SUN1,428.0
PACSIN2,33.0
NT5DC2,533.0
C7orf43,312.0
PPP1CB,169.0
MYRIP,638.0
OGT,211.0
SLC38A6,488.0
MAT1A,145.0
HPS3,267.0
HADH,319.0
USP9Y,238.0
ZC3H11A,515.0
CPSF6,479.0
HLA-DOB,39.0
PLCB2,1171.0
COX7A2,54.0
NUP214,968.0
SLC25A41,243.0
CAPZA2,34.0
TERT,796.0
LPPR1,103.0
GRID2IP,1212.0
DMKN,37.0
GMPR2,321.0
EPB41L5,733.0
PARD3B,936.0
FOXP2,68.0
SGK1,144.0
C15orf38,131.0
TBXAS1,580.0
FCGR2A,86.0
UBA3,65.0
ITFG3,236.0
SH3GLB2,25.0
PDE6B,150.0
GDPD2,591.0
TOM1,335.0
C1orf194,37.0
PLOD2,419.0
GRAMD1C,380.0
TSFM,326.0
SLC4A7,1260.0
AL162431.1,56.0
CHADL,253.0
MSH2,140.0
RPN2,148.0
KLHL22,235.0
MYL7,32.0
MSH5,745.0
SORBS2,96.0
C2orf70,129.0
FBXO24,130.0
ATP5J,117.0
RAD52,140.0
SCMH1,481.0
MARVELD2,547.0
DYRK1A,536.0
TFEC,281.0
ANKRD36C,1779.0
CHKB-CPT1B,61.0
CDK19,251.0
NPNT,583.0
IP6K2,140.0
DEPDC5,61.0
PHF7,327.0
SAG,36.0
SMYD3,131.0
CAPN5,681.0
PLEKHA1,133.0
USP17L15,530.0
NUCB2,391.0
RIMS1,753.0
DEDD,287.0
CCDC109B,141.0
DTX2,62.0
HDAC11,166.0
LY6G5B,202.0
PIK3CB,135.0
BANP,41.0
PON3,62.0
TSEN15,137.0
HCLS1,76.0
RABL2A,55.0
GORASP2,74.0
CARF,208.0
SCRN3,216.0
MYH11,1946.0
KBTBD2,29.0
TM4SF19,184.0
MAN2B1,1012.0
CCDC117,63.0
RGP1,432.0
PTGER3,375.0
DENND2A,865.0
TSEN34,242.0
TEX264,216.0
GCDH,429.0
ZNF853,660.0
COL19A1,37.0
C1orf105,38.0
EXD3,41.0
HLA-C,373.0
IL17RC,689.0
CHEK2,145.0
PIGT,124.0
SEPT5,370.0
RAPGEFL1,512.0
NPRL3,87.0
FRMD7,700.0
ACTL6B,66.0
CLDN25,230.0
FAM25G,90.0
NKIRAS2,42.0
TTC12,83.0
TES,79.0
RGPD6,56.0
ARRDC1,124.0
DNAJB5,96.0
NEK6,201.0
MPP2,577.0
ASB13,174.0
TTLL6,49.0
FAM207A,203.0
MARCH8,574.0
SERPINE2,87.0
DIP2A,890.0
TSEN2,82.0
DNAJB12,277.0
PRICKLE4,71.0
PRKCZ,61.0
MECR,213.0
PASK,125.0
CYP26B1,172.0
CCR3,21.0
PHF8,148.0
NDUFS1,130.0
RPSA,264.0
SPATA3,38.0
DCN,76.0
DNAAF3,488.0
ANK3,87.0
GPM6B,247.0
AP5S1,86.0
IGKV2D-24,120.0
STYXL1,221.0
KRT19,196.0
CMTM7,152.0
TRMT11,83.0
ZNFX1,707.0
CBWD2,183.0
SLC4A7,1132.0
KRIT1,65.0
IGHV4-59,127.0
FBXL18,802.0
GRM4,773.0
BCKDHA,449.0
OTUD4,1050.0
HACL1,552.0
SEPT2,161.0
PTK7,85.0
SEPT10,26.0
TLK1,162.0
TTLL3,140.0
HLA-A,366.0
ZIC4,229.0
SNX11,127.0
CCDC90B,246.0
SLC40A1,55.0
LATS1,201.0
RBM6,698.0
TRMU,167.0
EYA2,197.0
IGHJ3,16.0
ORC2,72.0
MAP4K4,1039.0
ACOT8,227.0
COL6A6,2264.0
MCM9,183.0
CBWD7,234.0
WDR60,197.0
HMCN2,155.0
SYNE2,557.0
SERPINF2,255.0
DDX39B,138.0
ANXA1,204.0
STAT1,150.0
PLD5,140.0
PRSS3,178.0
MLIP,3.0
IQCJ-SCHIP1,452.0
SSR1,266.0
EIF4G1,160.0
PDSS2,298.0
PDGFB,144.0
AHCYL2,75.0
DUSP11,151.0
SGK1,56.0
WRAP53,47.0
NYAP1,786.0
BBX,98.0
BLCAP,7.0
PGAP2,240.0
GJA9,515.0
SYS1,118.0
DNAJC7,495.0
PFN2,46.0
TFAP2A,82.0
OSBPL9,720.0
AMBRA1,1299.0
OGFOD2,187.0
DCTN1,121.0
NRF1,210.0
ZYX,164.0
SEPT2,81.0
HAGH,237.0
RALBP1,207.0
HBP1,124.0
MUC1,260.0
ABI3BP,84.0
SMKR1,66.0
ARL5A,78.0
ADPGK,223.0
DMKN,132.0
PSMG4,118.0
C17orf64,9.0
NT5DC2,195.0
ZNF577,62.0
ATP6AP1,134.0
ADD2,332.0
ST3GAL3,101.0
DEPDC1B,468.0
PXN,425.0
GCKR,228.0
TLX1,218.0
KIF6,690.0
POR,190.0
VEGFA,138.0
UPK1B,253.0
RHCE,313.0
RASAL2,1140.0
B3GALNT1,150.0
NONO,207.0
ASCC2,55.0
PLSCR1,42.0
CAPN13,424.0
BRD8,893.0
ASCL5,279.0
TTPAL,279.0
IKBKG,419.0
EHHADH,628.0
GPATCH4,120.0
KRT23,38.0
RP4-539M6.19,75.0
EOGT,124.0
RAP1B,127.0
CLEC2D,134.0
CFLAR,168.0
SMCO1,37.0
GALNT13,107.0
ADAP1,187.0
PGAP2,265.0
ASCC2,38.0
AC114783.1,121.0
C1orf116,356.0
MAP2,208.0
ZNF618,304.0
ST3GAL5,139.0
PRKRIP1,128.0
PLA2G6,125.0
ARL6IP6,67.0
TBPL1,45.0
FAM195B,98.0
PPARG,43.0
ABHD12,119.0
SLAMF7,189.0
ALPI,51.0
GNB2L1,154.0
PLA2G6,80.0
PARD6A,346.0
MED22,111.0
ZNF385B,263.0
KIF3C,673.0
DCHS2,703.0
TSFM,169.0
THUMPD2,291.0
FRMD4B,161.0
CHEK2,46.0
GORASP1,317.0
ITIH5,120.0
TTN,26927.0
MARCH8,89.0
CLASP1,178.0
HAX1,232.0
BBX,132.0
MYL7,149.0
FAM86A,297.0
ATP13A2,1176.0
TPRG1,133.0
FKBP11,147.0
TRAPPC2,175.0
SNX17,70.0
LANCL1,83.0
MCOLN2,250.0
MME,161.0
CFTR,1420.0
GCC2,147.0
DCDC1,355.0
BTG3,46.0
SIK3,72.0
ARID2,402.0
STK36,75.0
CFB,87.0
ZNF566,233.0
UNC5C,932.0
GK5,18.0
TARS,757.0
AGFG1,238.0
TRDMT1,311.0
DLG2,165.0
EXOG,144.0
CTPS2,133.0
TIA1,114.0
CLEC1A,248.0
RBMS3,434.0
CYP4B1,350.0
MZT2B,122.0
PPIP5K1,133.0
DFFB,79.0
BOC,22.0
FAM92A1,272.0
VPS8,74.0
ANKZF1,115.0
SPAG6,191.0
ESRRG,397.0
PRAP1,143.0
DDOST,155.0
DOCK10,43.0
DDX39A,268.0
CNOT10,805.0
LMOD2,548.0
FANCB,818.0
ABHD5,45.0
IDNK,231.0
ARID5A,527.0
RPS6KA3,227.0
PARP15,679.0
ATP9B,137.0
ZNF577,480.0
SEC14L2,54.0
KRT15,220.0
HGF,59.0
PHF19,107.0
MITF,117.0
PDIA2,227.0
ZNF277,108.0
TMEM232,658.0
CLDN16,120.0
PARP14,1522.0
OFCC1,300.0
MAGEA2B,148.0
HJURP,268.0
SLC10A3,218.0
KIAA1841,117.0
LCT,1004.0
DNAJC2,188.0
NAT6,9.0
RRBP1,752.0
CCDC132,189.0
IGHV3-64,118.0
C1orf50,43.0
KCTD20,87.0
MOG,248.0
NUB1,203.0
WDR82,47.0
JOSD1,61.0
IWS1,504.0
NDUFAF6,83.0
KCMF1,149.0
DOT1L,208.0
ZNF439,364.0
TRBV2,83.0
AMY2B,86.0
NAGK,391.0
UCMA,117.0
FAM228A,107.0
CPVL,43.0
L3MBTL2,41.0
GRHL1,230.0
SMTNL1,513.0
TAX1BP1,327.0
TAMM41,338.0
PAPOLG,169.0
HAT1,126.0
FUNDC2,95.0
DTNBP1,196.0
PRNP,217.0
HIRA,54.0
CCDC142,568.0
PET100,45.0
STK33,171.0
TRIM17,31.0
LRWD1,46.0
IL15RA,148.0
SLC26A5,448.0
SEMA4F,50.0
IDS,107.0
NIPSNAP1,129.0
KRIT1,162.0
ABCC6,872.0
RTBDN,230.0
GALE,109.0
TMEM209,561.0
SLC16A14,489.0
HLA-C,367.0
MPP1,205.0
ABHD14A-ACY1,510.0
C7orf55-LUC7L2,84.0
SNX27,542.0
IDH3G,212.0
TMEM129,29.0
DGCR8,125.0
ZNF311,667.0
ICA1L,97.0
MBD1,631.0
EPB41L1,197.0
CHRNA7,322.0
WDR53,160.0
CEP250,539.0
B9D1,187.0
CPT1B,739.0
AC174470.1,176.0
SMAD6,339.0
TPRA1,41.0
RAD50,158.0
COBLL1,218.0
UBAC2,135.0
SNX8,176.0
COL13A1,175.0
MALRD1,1474.0
ERCC6L2,366.0
C4BPB,181.0
ATP6V0E2,131.0
KRTAP9-2,159.0
CNOT3,289.0
NOS3,998.0
IGHD6-6,6.0
MYH7B,123.0
TRPC1,66.0
AKR1B15,345.0
ESRP1,609.0
COX7A2L,80.0
TACC3,221.0
TMEM176A,177.0
CPSF3L,63.0
REXO4,233.0
JAZF1,67.0
FAM115A,167.0
METTL8,105.0
RFTN2,194.0
MYOF,1178.0
SPATA6L,393.0
NACA,2079.0
SRF,305.0
TIAM2,1731.0
SUN1,279.0
DYDC1,153.0
PXK,204.0
UNC5D,949.0
CREB1,131.0
COMMD3,164.0
COCH,439.0
P4HA2,153.0
BRD8,838.0
TRA2B,289.0
HAPLN2,185.0
ABRACL,68.0
CDKN2AIPNL,117.0
PHACTR1,435.0
ESR1,484.0
PGAM5,141.0
SATB1,130.0
MPRIP,96.0
SERPINF2,264.0
CABIN1,357.0
OXNAD1,57.0
DPCR1,1394.0
SEMA3E,40.0
OSBP2,197.0
MRPL19,80.0
EGFR,1092.0
ARFGAP3,273.0
GLIPR1,238.0
SHROOM2,375.0
ZNF496,513.0
PTCHD1,104.0
SMC1A,55.0
NOLC1,258.0
MAPK9,425.0
SLC22A1,354.0
MET,190.0
QSOX2,284.0
CLASP1,1495.0
PPP2R2D,423.0
ZSCAN21,451.0
UBE2E2,164.0
SLC7A8,333.0
KCNMB2,100.0
EIF4E2,213.0
FOXP3,405.0
SLC6A8,89.0
SYNE1,512.0
C21orf59,184.0
C14orf80,216.0
CADM1,443.0
MKLN1,171.0
DBNL,139.0
SLC39A10,126.0
BPNT1,170.0
PDPK1,149.0
PPP1R21,117.0
LYRM4,75.0
GPNMB,515.0
C4orf36,33.0
LGALSL,54.0
WBSCR22,66.0
FBXL18,686.0
BBS1,497.0
GNAI1,303.0
KALRN,1655.0
GLS,164.0
GMPPA,164.0
PPP2R4,129.0
FAM228B,116.0
ENTPD1,518.0
TOP3B,526.0
MAMLD1,215.0
TRIT1,350.0
CT47A11,289.0
MEF2BNB,120.0
GGT1,98.0
PPIL2,490.0
PTDSS1,328.0
ST13,39.0
PRCC,258.0
PUF60,531.0
PIK3CB,181.0
VIL1,158.0
GPHN,381.0
GAD1,85.0
SMARCA2,66.0
TP53AIP1,87.0
PCMT1,121.0
CAPNS2,249.0
CYP19A1,242.0
CRAT,98.0
ZBED1,272.0
FLOT1,231.0
FXYD3,62.0
CD46,79.0
PI4KB,228.0
PREB,177.0
USP17L11,531.0
METTL6,106.0
GORASP2,39.0
TMEM14B,36.0
HSPG2,207.0
TIGIT,169.0
SEC61A2,95.0
FGD5,252.0
ARMC5,726.0
EVA1C,193.0
USP34,46.0
ZNF212,51.0
AKAP10,60.0
DGKZ,1118.0
TCP11,55.0
CD96,18.0
MAPKBP1,1515.0
ETNK2,192.0
ARL6IP4,227.0
RAPH1,650.0
PGAP2,81.0
C2orf80,125.0
HGF,286.0
PDE1A,553.0
NIPSNAP3B,198.0
INPP5B,176.0
DDX59,75.0
SLAIN1,99.0
BCL7B,89.0
CAPZA2,173.0
NDUFB4,70.0
TCP11X2,408.0
HACL1,519.0
C19orf81,157.0
ZNF440,53.0
ZNF638,62.0
SLC25A22,110.0
CAB39L,188.0
HHLA2,97.0
C7orf63,515.0
STK32C,137.0
WNK3,165.0
AC006455.1,149.0
NOX5,731.0
FADS1,147.0
NSUN5,59.0
ZNF28,719.0
MXI1,226.0
GAL3ST1,242.0
CLASP2,1274.0
HMGXB4,284.0
SORBS2,15.0
KLC4,316.0
PNMA6A,400.0
MYO1G,211.0
PLS1,54.0
SUV420H1,120.0
ALS2,577.0
KIDINS220,152.0
NME9,30.0
PPP2R5D,497.0
NFYC,129.0
TIAM2,156.0
DCLRE1C,57.0
AKNAD1,570.0
MUC15,335.0
ARPP21,96.0
CCDC138,352.0
HLA-DOB,274.0
SPIRE1,623.0
UBE2D4,40.0
CHRNA7,532.0
SLC37A3,67.0
CCDC148,55.0
WASH4P,64.0
HLA-C,369.0
B4GALT4,2.0
ILDR1,515.0
PTPN22,180.0
SH3D21,757.0
PPP6C,125.0
SPATA13,146.0
NF1,2503.0
LMO3,61.0
TOP3B,61.0
SKA3,50.0
STAMBP,137.0
TNNT2,298.0
FGF12,244.0
UBAP2L,234.0
SUV39H1,185.0
NCAPH,731.0
C6orf10,564.0
CXCR2,201.0
XPA,265.0
MUC4,5413.0
CDK11A,408.0
CCDC24,97.0
FANK1,200.0
PROC,517.0
ABCB8,148.0
ANK1,110.0
HYAL1,254.0
MYL7,198.0
TESC,136.0
C1orf85,76.0
PAM,906.0
PIGV,182.0
MCF2L,337.0
HYAL2,121.0
ARPP21,242.0
ATP2B2,1155.0
UBA5,111.0
C1orf159,103.0
MAD1L1,144.0
EVI2A,237.0
HGSNAT,664.0
RXRB,80.0
ARHGAP25,284.0
DDX3Y,224.0
AGAP9,659.0
PITPNB,274.0
HEPACAM2,486.0
SRSF11,132.0
METTL18,184.0
HADHA,261.0
ATPAF2,108.0
ZSWIM7,33.0
HEXA,169.0
NME8,116.0
MUC4,4443.0
DOT1L,654.0
SLC20A1,99.0
SP3,729.0
C1orf112,349.0
SSR3,134.0
PATE4,99.0
ATXN7L2,104.0
PRRC2B,175.0
CASP5,109.0
TANGO2,282.0
MTCH1,395.0
RFX3,216.0
SYPL1,149.0
DNAJB5,463.0
SLC22A18AS,151.0
TRIM8,297.0
HFE,335.0
DLG1,789.0
CAPN7,43.0
KLHL24,117.0
TSC22D1,1074.0
RAPH1,595.0
ACAD10,1091.0
NUDC,133.0
BRCC3,86.0
NCBP2,15.0
IRF1,192.0
BRDT,32.0
ZNF334,643.0
UBE2L3,213.0
MAGI1,1137.0
NFE2L2,48.0
ICA1L,100.0
RP1-309K20.6,141.0
VIT,204.0
WDR92,93.0
IFFO2,518.0
MAGI1,1132.0
NUP35,53.0
DMTF1,91.0
TCEA3,118.0
PCLO,61.0
TTC14,193.0
APOL2,74.0
ZNF816,114.0
AC007040.11,50.0
FDXR,382.0
ALK,153.0
TCEAL4,91.0
WDR52,420.0
WIPF1,157.0
HDAC4,162.0
NT5C2,175.0
UBXN11,207.0
IRAK3,536.0
TFPI,105.0
CPVL,142.0
ZNF611,637.0
TIAM2,1014.0
ABCA9,1587.0
PSMB9,155.0
CNKSR3,154.0
OPRM1,407.0
CDHR4,135.0
SEC22C,236.0
ZFPL1,110.0
KALRN,124.0
C2CD4D,354.0
OSBP2,451.0
PIP5K1A,40.0
ANKRD54,208.0
RPL22,48.0
B3GNT5,62.0
ZMYM4,1208.0
PILRA,227.0
RASGRP4,640.0
SUN2,199.0
HSPA8,494.0
SFXN2,187.0
GCSAML,104.0
CCDC181,356.0
SARM1,691.0
MRPS27,359.0
URGCP,122.0
ALDH1L1,168.0
BUD31,104.0
TTLL3,193.0
TRMT6,328.0
USP34,811.0
ZNF185,328.0
OMA1,184.0
CEP170,120.0
MICB,318.0
ARMC8,607.0
FBXW8,533.0
HEBP2,46.0
FLCN,37.0
MAGIX,143.0
TMBIM1,92.0
ZMYND8,1189.0
INMT-FAM188B,142.0
FHL1,155.0
BBIP1,104.0
ZFHX4,3572.0
SLCO1A2,137.0
STK11IP,1089.0
DEPDC1,812.0
CMTR1,157.0
IL2RG,180.0
TPSAB1,283.0
STK11IP,111.0
SUCLG2,191.0
MSH6,105.0
MZT2B,121.0
MTOR,161.0
SETD1A,247.0
CEP70,213.0
ITPRIP,114.0
IGHD1-1,6.0
CDKN3,212.0
DDX3X,647.0
ZNF347,841.0
SLC22A6,507.0
USP41,357.0
LA16c-431H6.6,123.0
AC092675.3,61.0
ZMAT1,468.0
PSMD4,85.0
SGOL1,85.0
CDCA7L,156.0
SYPL1,242.0
POMZP3,250.0
XPO5,253.0
HAP1,41.0
PITRM1,185.0
PRODH,164.0
ZNF568,572.0
GLP2R,94.0
PRDM16,54.0
LZTR1,55.0
GTF3C3,7.0
LILRB2,211.0
MUTYH,55.0
EPC2,160.0
ICA1,88.0
C16orf13,177.0
ACRV1,177.0
YIPF3,46.0
HTR3D,234.0
SLC27A3,401.0
RASA4,732.0
KLHDC8A,217.0
PPP4R2,144.0
FASTKD1,848.0
PSMC4,388.0
EHBP1,110.0
BAP1,730.0
PCDH1,1049.0
TNS3,1250.0
ABI2,294.0
PPM1N,131.0
RETSAT,550.0
PARP11,51.0
CLIP4,98.0
ST6GAL1,25.0
FAM126B,208.0
PUS1,156.0
EFCAB10,77.0
ABHD14A-ACY1,168.0
RAPGEF5,142.0
MIS18BP1,196.0
ZNF623,497.0
DKC1,170.0
ITGAL,163.0
MYB,348.0
FKBP8,442.0
MAP7,772.0
ITGA6,1086.0
PTBP3,559.0
SCN5A,1984.0
MYH9,103.0
QARS,305.0
RGS3,312.0
DNAJB5,421.0
PDC,195.0
CXorf28,63.0
KLHL18,463.0
RUNX1,140.0
SYT1,420.0
SLC13A2,28.0
SMPD4,51.0
PGD,256.0
WNK2,646.0
TRIM6-TRIM34,489.0
BRD1,996.0
PDCD6IP,874.0
SLC26A6,724.0
CEP170B,1591.0
CHTF18,1004.0
PKP4,54.0
KIAA1109,3681.0
ASNS,63.0
DLG1,122.0
HHLA2,145.0
PIGX,112.0
SOGA1,1265.0
DNAJB14,42.0
UGT2A2,537.0
ST6GAL1,21.0
MAPKBP1,1509.0
DUSP12,138.0
ODF2L,154.0
IL17RE,534.0
PEMT,98.0
EXOG,147.0
INPP1,68.0
ALDH1L1,802.0
GPAT2,725.0
C6orf205,597.0
IFNGR1,210.0
HOOK1,137.0
ARL6,121.0
TMEM14B,102.0
RPL11,175.0
SACM1L,288.0
FCHSD2,605.0
OSR2,434.0
AC009065.1,179.0
RFX3,174.0
PLSCR2,39.0
GPR42,347.0
POLL,152.0
OR2M3,313.0
CCDC129,168.0
USP25,204.0
NHEJ1,229.0
MTAP,301.0
DHX30,1223.0
MSH5,160.0
CAMK2D,525.0
IRAK1,213.0
C21orf49,32.0
KLHL21,134.0
MICALL1,370.0
DAW1,37.0
AXDND1,656.0
RFWD2,247.0
RAB34,269.0
AC114783.1,119.0
USP19,1373.0
COG6,658.0
BARD1,77.0
ARMC8,198.0
RBBP4,181.0
SUN1,119.0
CRYBA2,129.0
TIAM1,225.0
THEMIS2,392.0
LPP,57.0
WBSCR27,91.0
C21orf49,25.0
RHD,322.0
LGALS1,39.0
TIMM23B,100.0
MDH1B,518.0
AKT2,107.0
SLC12A5,1140.0
KRIT1,243.0
ARPC4-TTLL3,167.0
KLHDC10,136.0
TRPM8,377.0
RNASEH1,44.0
HLA-F,226.0
XRN1,460.0
WDR49,663.0
STK33,37.0
RP11-216L13.17,245.0
SLC30A6,60.0
COBLL1,425.0
HOXB3,300.0
DSG1,409.0
ART5,265.0
CCDC108,114.0
GPR1,19.0
R3HDM1,284.0
DCD,122.0
GABBR1,156.0
APOD,109.0
HLA-A,366.0
GBP3,219.0
PIGG,984.0
KIAA1407,82.0
LAMA4,120.0
EPB41L2,380.0
NTM,120.0
DCAF8,418.0
C10orf76,94.0
STRC,120.0
ERAL1,277.0
T,243.0
HBP1,86.0
NECAP2,238.0
TRIM22,305.0
ATG9A,172.0
SLC16A1,456.0
SUN1,975.0
FAM133B,30.0
HNF4A,443.0
LCA10,333.0
STAC,342.0
BTBD3,139.0
ADCY3,198.0
QARS,254.0
GNAS,167.0
GIGYF2,68.0
ACY1,499.0
NEU1,268.0
ASNS,402.0
EHMT1,804.0
SLC26A3,120.0
MLXIPL,213.0
FGF5,124.0
PSMB5,85.0
CERS2,129.0
PLSCR4,147.0
ERCC4,36.0
TMBIM1,84.0
DASS-161H22.6,100.0
HDAC10,397.0
MLXIPL,235.0
CAMKMT,94.0
GRAMD1B,746.0
ARMC8,352.0
CDK19,123.0
STK31,159.0
SSBP1,121.0
MAPKAPK3,119.0
ZNF20,41.0
DPP7,245.0
IL1R2,229.0
COPS7A,63.0
PRKCZ,489.0
MAPRE3,218.0
SCN3A,200.0
IDUA,676.0
SLC25A36,286.0
CABP1,307.0
RP4-734P14.4,114.0
RFC2,102.0
BRWD1,548.0
UGT2B10,445.0
PPT2,180.0
USP39,155.0
NIN,396.0
RHBDF1,580.0
RHBDD2,80.0
SNX21,159.0
NAPEPLD,467.0
SAR1A,156.0
TMEM169,102.0
PRMT5,180.0
CD28,235.0
CCDC136,102.0
TBC1D8B,22.0
SENP2,106.0
ZNF746,646.0
ARFGAP3,152.0
BCAS4,90.0
SLC6A11,209.0
MEF2D,514.0
C3orf17,239.0
PXT1,135.0
DYRK1A,46.0
MOSPD2,158.0
SYTL5,753.0
MSH5,159.0
ANKRD2,301.0
HDAC9,563.0
ARL6IP4,353.0
PLSCR4,262.0
PDCD2,229.0
CDH23,576.0
PHF23,400.0
RXFP1,677.0
EXOC6,72.0
NCOA4,651.0
DGKI,735.0
MET,158.0
PLEKHM3,673.0
DDX52,98.0
HDLBP,267.0
CRAT,202.0
HSPB7,125.0
TBRG4,248.0
MDH2,29.0
ZNF683,122.0
GTDC1,330.0
SARS2,237.0
LCK,149.0
DLEC1,1759.0
ADAP1,246.0
TCF3,567.0
BBX,13.0
NDUFB2,97.0
ARL6IP4,217.0
PAEP,127.0
SUMF1,243.0
KDM5C,1380.0
TSEN34,251.0
KALRN,194.0
ORC4,128.0
KMT2C,155.0
PON2,220.0
DIEXF,249.0
EWSR1,233.0
SUN3,346.0
LRCH1,98.0
HLA-DQB1,144.0
NOL12,207.0
AURKA,106.0
SESTD1,94.0
VCX3B,187.0
SORBS2,56.0
SAMD3,545.0
ITGB1BP1,39.0
STK19,112.0
HERC3,227.0
TTLL3,327.0
RUFY2,131.0
TRIM31,426.0
STXBP4,82.0
TMEM39A,112.0
PARP9,711.0
C3orf30,442.0
CSH1,123.0
HMGB3,193.0
BSDC1,431.0
CAND2,164.0
MSH5,467.0
GLIS3,89.0
AOC2,730.0
RAP1GDS1,608.0
EGFL8,302.0
POTEB2,545.0
SMARCC1,134.0
PTP4A2,137.0
DMTF1,177.0
ADCY5,1262.0
AIG1,138.0
RPN2,167.0
POTEH,304.0
NELFA,208.0
WDR49,62.0
PHYH,176.0
ALDOC,180.0
PDXDC1,430.0
ANKRD60,346.0
DPF1,389.0
KRT17,95.0
STAG2,40.0
CTU2,516.0
CCDC132,470.0
NUPL1,486.0
TINAGL1,437.0
KIAA1217,1350.0
CYP4B1,326.0
NDUFB2,42.0
ZNF812,455.0
NMD3,218.0
ZNF808,83.0
PLS1,120.0
THOC7,17.0
UMPS,67.0
ST3GAL6,101.0
SQSTM1,74.0
CCDC144A,1155.0
