Gene,Theoretical Peptide Count
NR2C2,39
NEK4P1,1
FAM180A,1
PKN2,54
RP11-548K12.12,1
CHD8,529
UBE2V1P5,1
RP11-87N24.1,1
CCT6P4,1
RP11-265D19.6,1
ADCY3,35
RP11-330C7.3,1
AC008940.1,1
TAS2R62P,1
ARPC1A,73
RP11-646D13.1,1
IP6K2,11
AC005154.8,1
DLK2,50
RSG1,24
RPL29P7,1
AC005077.12,1
DUOXA1,85
RP6-22P16.1,1
KLF11,21
GGT1,8
RP3-395P12.2,1
MLPH,40
ACOXL,138
SNX18P15,1
SYNJ1,30
BCL7A,1
ST7,7
RP5-845O24.3,1
RP4-672N11.1,1
KLHL22,21
NLRC5,247
AC008074.4,1
TRAPPC9,213
RP11-157E14.1,1
OR52U1P,1
RP11-534I8.1,1
ESAM,17
RP11-14O19.1,1
RP11-524P6.1,1
EPM2A,37
SAMD11,33
RP11-93N20.1,1
RPS24P8,1
AC006033.22,1
TNFRSF14,38
EFEMP1,15
OPN1MW2,29
NCOR1,155
GLUD1P7,1
C11orf70,59
PNPLA7,255
RP13-39P12.3,1
ZNF382,152
AP2M1,67
RP11-285A18.2,1
SIM2,81
RPL23AP50,1
GAPVD1,152
ZNF192P1,1
PPIL6,75
NOTCH4,216
ALG13-AS1,1
AC018634.9,1
SLC26A6,34
IL1RAP,49
DFNA5,3
STX12,52
PCDH15,305
RPS21P1,1
SELENBP1,80
CASP8,16
TRIM27,35
MRPS21P3,1
RP11-449O16.2,1
FTO,26
ACAA1,17
ULK3,115
RP11-274B21.4,1
UBE2F,41
ZHX3,9
HAR1A,1
RPS2P32,1
RP11-1M18.1,1
TXNDC9,33
HLA-DMA,13
ETV5,23
ASAP3,167
RP11-1008C21.2,1
HAUS6P2,1
C5orf66,23
TUBGCP6,251
TSPAN12,15
RP11-80K21.3,1
CD44,102
ZC3H11A,9
USP9YP35,1
SDAD1P2,1
LRRD1,186
ZNF84,1
SLC45A4,103
TLK1,174
RP11-234K24.3,1
RABL6,79
IQCA1,219
PGAM1P2,1
ZNF185,118
LZTR1,21
SEPT5,85
RP11-480I12.5,1
LY6G6D,39
RPS2P48,1
ITFG3,29
ADAM10,30
DCTD,41
GLB1,7
VMO1,17
NRD1,87
SORBS2,11
RANBP1,40
ZNF823,15
CLDN15,1
WIPF1,18
GRAMD1C,127
PCBP2,56
MDH1,38
RP1-158P9.1,1
AC008269.2,1
AC009784.3,1
AC006050.2,1
BCL6,21
LINC00323,1
RBM26,244
AP000295.9,17
RIMKLA,75
LINC00390,1
GATA2,65
FXYD7,1
VGLL4,58
C2orf53,19
AC103564.6,1
OR10C1,35
RP11-214N15.5,1
SUMF2,19
UPP2-IT1,1
SEPT2,24
RP13-512J5.1,5
AC003991.3,1
PCDH9-AS3,1
RP5-1160K1.3,1
AC016561.1,1
TSNAXIP1,101
LAYN,38
ATG16L1,18
UBE2D4,9
GHRL,23
C4orf26,44
ANKZF1,5
RP1-43O17.1,1
AC011385.2,1
SUN2,46
SIGLEC6,59
SATB2,28
SLC1A6,62
MLIP-AS1,1
FAM8A4P,1
RP1-159G19.1,1
RP1-65J11.1,1
AC011998.4,1
MUTYH,54
EIF3L,19
HSPA14,27
OSBP2,123
GTF3C5,56
MFF,1
AP001092.4,1
ANKRD30BP2,1
RP11-402L1.12,1
RP11-144C15.1,1
HIGD1A,23
AC073316.1,1
SLCO1A2,1
AC010723.1,1
SLC16A14,3
RP11-245P10.4,1
RP4-781K5.2,1
RP11-404O13.4,1
EIF4G1,299
PRMT3,92
GCK,103
SAPCD1,15
CDKL3,103
RP5-1097F14.1,1
PEMT,30
TTC21A,240
RP11-436G20.1,1
ATP11C,26
CDV3,46
AC114765.1,1
AC005083.1,1
BAALC,7
ST13P11,1
GHRLOS,1
OR4C14P,1
MFAP3,43
RP5-837I24.5,1
RP11-74K19.1,1
TRAPPC3L,41
MYL7,1
RP11-503C24.3,1
ATP6V1G1P4,1
OR3D1P,1
AP001432.14,1
NCKAP5L,192
PTPRA,17
CTA-992D9.7,1
PRPSAP1,50
MNDA,40
TUBGCP6,43
CDY18P,1
PPP1R2,42
RP3-342P20.2,1
XX-C2158C12.2,1
AC064834.3,1
FCHSD2,32
AC136896.2,1
ERGIC3,26
TMTC4,23
AC016732.2,1
MLN,28
HMGB3P11,1
ZEB2,26
IQCE,188
GALNT13,7
RP11-520B13.4,1
ACTR3P2,1
FBXL2,13
DASS-23B5.2,1
RP11-101E14.2,1
TIAM2,1
SIL1,1
RP11-393K10.1,1
AQP4,36
MTND5P23,1
XPO7,188
MAGEA4,37
TMEM256P2,1
MED15,22
AC013448.2,1
RP11-403I13.8,1
CYCSP11,1
FAM212B-AS1,1
SCLY,27
RP11-265P11.1,1
MSL2,93
LAMA4,17
DDR2,30
TTC39A,1
RP11-471G13.2,1
TIAL1,64
POLR2B,262
SMPD4,132
IL17RE,31
STRC,62
MBOAT7,9
AC011816.1,1
WDR46,155
LZTFL1,59
SUN2,29
RP11-146I2.1,1
GAPDHP68,1
CHEK2,15
RBM26,237
IST1,24
IL5RA,53
AC079613.1,1
AC007036.6,1
RP11-472D17.2,1
BCL2L11,22
TM6SF2,1
OSBP2,20
AC073257.1,1
C3orf18,24
AC108066.1,1
CYP2D7P,92
D2HGDH,33
MYL3,17
NOL10,40
AC093716.1,1
LCN9,1
ADAM28,112
TTLL3,36
ERC1,299
FAM134A,50
HAAO,36
CLCN2,25
RP11-145H9.3,1
DLEC1,1
CDKL3,106
AC098828.2,1
GAPDHP26,1
SH3BGR,15
RP5-898J17.1,1
MTND5P24,1
RP11-293P20.2,1
SUN2,25
PDLIM5,80
RP11-335H2.2,1
BCL2L11,19
DPP10-AS1,1
BDNF,78
RP1-249H1.4,1
ANKRD63,81
HNRNPA1P3,1
HMGB1P12,1
RARB,81
MTND1P28,1
CTBP2P2,1
PPHLN1,116
FANCC,23
AC018693.5,1
BZW2,53
LIMS1,5
WDR27,47
SULF2,1
NOL8,264
RP11-815I22.1,1
USP9YP24,1
RP11-550H2.1,1
ENO2,1
GIGYF2,23
AC005592.1,1
KLF7,30
SEC13,17
UPP1,7
AL953854.2,65
DEFA9P,1
SKAP2,38
C1QA,43
FAM231A,31
RP13-492C18.1,1
C11orf68,58
ALDH16A1,97
ARHGEF10L,196
HSD3B2,39
CAPG,46
AC005152.3,1
MACC1-AS1,1
ZNF660,19
ATG9A,23
GPR85,11
CSTP1,1
PAFAH2,27
TOM1,85
AL355490.1,21
SLC1A5,46
AC004691.5,1
MYO16-AS1,1
CYP4F12,1
RPL9,1
SLC22A23,100
AC128709.3,1
RBMY1A1,86
RP5-945F2.1,1
PRR5,28
KCTD10,17
CCDC79,159
RP11-195B3.1,1
KCNMB2,1
RP11-216M21.2,1
AC005703.3,1
WDR75,20
TSSC1,29
PPP1R14BP5,1
MROH7,18
GRSF1,73
CBFA2T3,126
YWHAZP2,1
MASP1,23
AK3P3,1
RBM38,26
RP11-545P6.2,1
RP11-196D18.2,1
HLA-DRB1,57
SCP2,37
ZNF175,19
AP000936.1,1
CBR1,31
FADS1,52
ZNF41,25
MTMR1,21
LDHAP2,1
SREBF1,60
PSMD1,45
AF127577.11,1
ZNF736P1Y,1
AC018804.3,1
ESYT2,73
PPIH,34
ANKRD53,52
RP11-809F4.2,1
LINC00691,1
SIGLEC10,112
KIAA0319L,93
MCF2,103
NOTCH4,216
DDX39B,18
C6orf120,25
NUDT9,72
MIR4500HG,1
RP11-344N10.2,1
ZNF528,3
PRRT3-AS1,1
PCLO,250
RP1-12G14.6,1
MAP3K13,17
GLI3,24
PGK1P2,1
ACSL5,126
DDX11,77
MAP7,163
RPL26P34,1
RP11-540K16.1,1
MMP2,120
ASS1P2,1
AC009541.1,1
AC006028.11,1
MFSD9,23
SEMA4A,56
STAT1,9
LINC00441,1
RP11-54O15.3,1
ARSE,25
MED15,25
OR6D1P,1
FAM210B,15
DSCR10,1
MYO1B,131
HLA-DQB1,52
KRTAP4-16P,11
FBLN1,7
PRR14L,65
BLOC1S3,45
RP4-654H19.2,1
TBC1D2B,70
THRB,26
RP11-80I15.1,1
MR1,42
RFPL4B,49
GPR143,26
PILRB,19
TRBV26OR9-2,1
MTND5P15,1
TFEB,5
NLRP2,44
WNK2,333
RP11-334A14.8,1
RP11-203P23.2,1
MARK3,194
RP11-204M4.1,1
BAG4,52
MFF,9
AC151960.1,1
PIGQ,19
RBM5,49
NPAP1P3,1
AC006466.5,1
PHYHIPL,13
CEACAMP1,1
RP1-203C2.3,1
CCHCR1,86
KCTD9P1,1
RP11-77G23.5,1
AC112229.6,1
LPP,9
XBP1P1,1
CNTN4,1
RP11-1114A5.4,1
RAB11FIP3,121
IMMTP1,1
MTRF1,128
SECISBP2,19
IFNGR2,7
RP11-385M4.2,1
COBLL1,38
AF131217.1,1
ELAVL3,71
SPSB2,14
THOC3,11
RP11-141M1.3,1
FLOT1,32
AP001044.2,1
CEP170,1
PPIG,179
NFAT5,147
KCNK16,35
RPL7,47
RP4-771M4.2,1
EIF3IP1,1
KRT18P11,1
OR52B5P,1
AC067959.1,1
RFX5,13
FTLP19,1
FIGNL1,28
ZNF415,140
AC092106.1,1
AC092159.2,1
TSPY7P,1
RPL7P29,1
BRWD1-IT1,1
PPT2,9
USO1,126
RP11-346M5.1,1
RP11-259P15.1,1
WDR64,205
GAPDHP59,1
SGIP1,52
ZHX3,17
RP11-259F16.3,1
PHOSPHO2,16
DNPEP,27
CLPB,174
ALDH3A1,67
ANKAR,218
NPM1P48,1
C18orf42,18
DGKB,19
PSMF1,23
UBE2K,1
FGF14-IT1,1
CNOT1,260
HSPA4L,204
FAM126A,96
RAD54L2,241
LINC00309,1
SLC12A3,157
KCNIP1,47
SENP2,60
CNTFR-AS1,1
AK3P5,1
EHHADH,17
AC016292.1,1
AKR1A1,33
BEND7,37
RP11-224O19.4,1
IGFBP2,20
RP11-87O11.1,1
TBC1D5,17
AC092573.2,1
RP5-837O21.4,1
TTC21A,299
AC092580.1,1
ANKRD54P1,1
ZNF630-AS1,1
RP5-837I24.6,1
BRPF3,136
ZNF816,58
SH2B2,31
EEF1DP2,1
COL14A1,1
ATG9A,15
MTND3P1,1
PRMT7,104
AP000275.65,91
WBP2,34
RP1-203C2.2,1
RPL28,29
SUMF2,51
PIP5K1B,27
RP3-470L22.1,1
RPS26P2,1
VPS53,187
INPP1,3
AL163953.2,1
RP11-219C24.6,1
APP,135
TRIM73,67
OR5AL1,30
POTEB,86
SNX5,79
AP001171.1,1
RP11-473A10.2,1
RP11-359J6.1,1
RP11-490K7.1,1
STK38L,1
GLB1L,29
NUP50,25
TGIF2P1,1
ADH5P4,1
PLCXD1,31
CX3CR1,13
TBL1XR1,9
AC114812.8,1
RP11-366L20.2,32
RP11-506B6.6,1
PLCL1,215
SIAE,1
CTA-984G1.5,1
ARL5AP4,1
RP11-65J3.2,1
RP11-119K6.6,1
RPS2P46,1
AC017048.2,1
RPS6KA1,29
C7orf55-LUC7L2,1
GAPDHP32,1
GALNT13,17
ZNF816,23
UBE4A,187
SPARCL1,27
PROB1,179
FKBP1A,21
UBE2Q2P4Y,1
LINC00545,1
TBCE-AS1,1
RP4-537K23.4,1
DENND6B,58
AGBL5,7
RP11-252P19.2,1
AGBL1,204
ANKHD1,140
SLC2A8,28
RSRC2,39
RP11-463P17.3,1
MUC1,31
STARD3NL,31
RP5-984P4.4,1
RP6-24A23.3,1
SCRN1,78
DHRS2,51
AC007563.3,1
CBS,46
ST13P2,1
RP6-191P20.4,1
ZNF442,150
TTC39A,47
CRBN,87
ANKRD26,450
BCAP29,55
DCTN1,195
AC108868.5,1
RP1-212G6.4,1
PAXBP1-AS1,1
NSUN5,103
RHOC,23
ARTN,49
CHMP3,69
RP11-536K7.5,1
AC103564.9,1
TRMT61B,79
ACHE,45
RP11-551G24.2,1
HTR2A-AS1,1
TTTY18,1
RP11-388N2.1,1
LTF,41
ELN,9
RP11-109M17.1,1
UBR3,102
SLC25A17,3
RP11-262D11.2,1
CPVL,43
CCDC117,19
HOMEZ,94
OR10AC1P,61
MRPS10P2,1
C16orf58,35
SLC29A4,1
RPE,7
MKRN7P,1
KANK2,157
ABTB2,182
NPIPB9,110
PRPF38AP2,1
AC106706.1,1
RP11-554D15.1,1
ACTB,27
LACE1,1
PISD,93
DPYSL5,35
ACAP2,73
LRCH3,118
PTPN2P2,1
CCDC150,17
SESN1,110
RP4-796I17.5,1
PSMB7,38
GTF2A1L,41
CDCA7L,19
RP5-1198O20.4,1
KIAA0922,254
DNM1,1
AGAP4,1
GOLGA8B,160
RP11-132G19.3,1
MTA1,70
PDIA3,11
C1orf159,31
MAD1L1,33
RP5-837O21.5,1
PRUNE,45
AC016712.2,1
MAPRE2,68
RP11-197K6.1,1
NDUFA5P1,1
HMGN1P38,1
FKBP6,79
RP11-296P7.4,1
OR52P1P,1
GNA13,97
LINC00283,1
HTR3E,25
PITPNM2,1
ANKRD54,40
NTN1,42
CLDN15,11
CPNE1,33
RCAN3,43
RFPL4A,64
ABCA13,811
RP11-160C18.4,1
RPS3AP52,1
AASS,101
DAG1,3
PCYOX1,90
RP11-232D9.1,1
RPL36P19,1
TBRG1,86
EIF3L,3
SLC25A17,23
HEATR2,116
MLPH,80
CRYZL1,34
ATP5JP1,1
KIF18B,166
RP11-46F15.2,1
AC087294.2,1
FAM157A,1
NCOA6,1
AC114765.2,1
KCNMA1,169
SLC12A8,83
AC007967.4,1
RP11-702C7.2,1
DHX9P1,1
RP11-666A1.4,1
ST7-AS2,1
AC000041.8,1
RP11-483H20.6,1
ZNF143,13
ZKSCAN1,25
SH3KBP1,50
RPL17P35,1
COL11A2,107
AC007389.2,1
ERBB4,236
C16orf93,1
AC004889.1,1
RPL37P1,1
CYFIP1,166
ZNF598,205
IGHD4-11,1
RP5-837M10.4,1
AC010731.4,1
AC010132.10,1
DARS,51
SALL1,169
HMGN1,22
AMT,48
EYA4,76
MLC1,55
ST8SIA6,36
LINC01087,1
RP11-98L5.4,1
CYP11A1,96
TAPBP,21
RP4-714D9.2,1
GORASP1,1
RANBP1,32
RP5-902P8.10,1
DHRS3,21
RP1-315G1.1,1
RP11-66N5.2,1
IL2RB,19
RP5-1132H15.1,1
AC092159.3,1
ETFDH,1
SMC2,53
MTAPP2,1
AC104698.2,1
PUM2,10
RP11-3L21.2,1
RP11-280O24.3,1
ALDH3B1,1
MPV17,14
RP11-122G18.5,1
RP11-84O12.3,1
CD6,55
AC079799.2,1
IGFBP2,27
SUN1,36
KIAA1328,64
EIF4A2,92
AC007040.8,1
SNRPEP9,1
AC007391.2,1
FAM58CP,1
D2HGDH,13
SPATA3,15
LINC00693,1
USP9YP28,1
AC105402.2,1
RCBTB2,84
CCT6P1,1
POLR1B,33
AC009892.5,1
FYCO1,38
FETUB,19
CKMT1B,22
RP1-206D15.3,1
CETN4P,1
AC006328.9,1
RP11-142L4.3,1
GUK1,55
APOL1,34
AC005884.1,1
OR5G3,40
GINM1,27
AC098820.3,1
DYNC1I1,114
AC105339.1,1
RP11-160E2.17,1
MOGAT3,48
AC005008.2,23
CPNE1,49
CNN2P6,1
CRAMP1L,237
ROCK2,47
YIPF4,9
FGF13,55
SLC20A1,38
KIAA1715,13
NCOA7,32
RP11-15B24.3,1
AC010733.4,1
CASC6,1
ELMO1,42
LRRC23,47
PHF19,45
RP4-620E11.5,1
PSMD2,45
RP11-288L9.4,1
USP19,276
TTC21B-AS1,1
ZNF223,131
MCF2L,246
BDH1,21
RP11-739N20.3,1
SIRT1,82
TTTY20,1
AC098614.3,1
AC007879.6,1
PTPN12,117
GIGYF2,194
AC114783.1,26
GS1-256O22.5,1
SEC14L3,9
RP11-393I23.3,1
IRAK4,64
SPATS2L,33
RP11-126D17.1,1
DCAF6,187
RP11-382F24.2,1
RP11-480I12.2,1
RP1-90G24.10,1
GSKIP,25
NIPAL4,56
LINC00163,1
KCNJ15,48
DDR1,11
OLR1,34
RP3-399L15.1,1
PPAP2C,35
SMTN,52
AC109333.10,1
REV1,26
HNRNPU,59
AC005838.2,1
CASP8,38
TRO,1
TMLHE-AS1,1
AC011899.10,1
ACSL1,114
EBF3,17
AGTPBP1,138
AP002381.2,1
NDUFS1,117
AC011742.5,1
TST,29
LINC00299,1
PON1,13
SPAG11A,27
RP11-57H12.2,1
RP5-1011O1.2,1
SEPT7P5,1
AP000351.4,1
NEGR1,42
RBM17,74
OR51R1P,1
TUBB4BP3,1
RP11-399N22.3,1
ANKRD7,43
IP6K2,23
MMGT1,43
RP11-217B7.2,1
RPS10P14,1
KLK4,7
AC093106.4,1
UBE2J2,41
MAGED4B,158
CHRNA1,15
CTD-3105H18.8,1
KIAA1045,1
KTN1,357
LINC00106,1
AC026167.1,1
RP11-305F18.1,1
DNPEP,25
RP11-10N16.3,1
RP11-284G10.1,1
RP4-635A23.3,1
PSMC1P12,1
WDR48,37
Z95114.3,1
FASTKD1,57
C4orf45,54
AC003664.1,1
GPR1,9
RBPMSLP,1
MDH1B,31
GHRL,11
RP11-111F5.3,1
FLNA,35
DHDDS,50
CARF,39
RP11-214J9.1,1
EIF4G1,309
SLC26A10,47
AP001628.6,1
AC018495.3,1
CLK1,59
MAST4,18
TMEM248,19
THAP5,31
ZNF490,27
TSPEAR-AS1,1
SSUH2,11
WDR33,47
RPL23AP83,1
AC067960.1,1
CFLAR,74
RP11-168P8.5,1
RP11-63P12.6,1
AC007272.1,1
OR7E110P,1
RPS10P21,1
USP12-AS1,1
PFN1P5,1
RAB17,31
UBR3,112
IFT122,235
AC010745.3,1
ARID4A,19
RPL12P15,1
TRIP12,61
RPL15P1,1
ST3GAL5,15
AC092568.1,1
DDX26B-AS1,1
COPS7B,7
MIEF1,10
SDHC,21
TMEM18,16
PPARGC1B,161
FABP5P2,1
CFL1P2,1
AC000374.1,1
AC013402.3,1
ALKBH2,38
RAB34,59
CYCSP12,1
TSPY3,62
RP5-1185K9.1,1
RPS17P8,1
DUSP18,5
NARG2,166
G6PD,55
AC005077.5,1
LRRC49,1
SYT8,25
VRK2,15
TAAR9,43
RP11-384C21.9,1
MOG,44
RPS4Y1,88
KMO,1
AP4B1,44
POR,29
STAT4,3
SLC29A4,17
SLC26A4-AS1,1
ENTPD6,76
LECT1,27
AC006994.1,1
LY6G6D,11
C6orf10,171
POLD2,37
AC012074.2,1
RP11-75C9.1,1
SLC35E1,61
ADCK3,67
PSMD2,131
CLSTN1,122
ARMCX4,97
LINC00578,1
CD200R1,35
DKC1,59
AC008067.2,1
RP11-254B13.1,1
GSTA3,27
FBXL13,60
AC068282.3,1
AP000235.2,1
PPP1R8,33
TYW1B,151
DGKD,97
RP11-452D2.1,1
POLL,40
SLC19A3,7
FRMPD3,367
SIGLEC8,74
NELL2,156
BPIFC,39
STAG3,1
CALM2P4,1
BMPR1B,115
CR1L,1
IFI16,181
ZNF138,94
RPL5P27,1
RP11-39K24.14,1
RBM3,15
RP11-567C20.3,1
RP5-942I16.1,1
MYB,122
CYP21A2,92
GNB1,31
RP11-585K14.2,1
HSPA9P1,1
SREBF2,56
DICER1-AS1,1
PCED1B,87
NBEAL1,41
PLEKHA8,113
C10orf40,35
TRIM2,142
TRIM60P8Y,1
ZEB2,21
NEK10,52
SERPINE2,53
TSPAN19,9
RNLS,38
SPINK8,15
RTFDC1,13
EIF2B5,20
RP3-466I7.1,1
RP11-651P23.4,1
MYO5BP1,1
TAF1B,43
VIPR1,46
PVRIG2P,1
MAPKAP1,1
DAZAP2,3
DLX3,46
BRD7P6,1
AC090774.2,1
CTC-499B15.1,1
RP1-308E4.1,1
C21orf91-OT1,1
HNRNPA3P12,1
FLOT1,41
DPF1,64
MTMR14,15
PRKAR1AP,1
PTCH2,9
EGR4,74
MTND2P21,1
SEMA4A,43
EYA3,69
NLGN4Y-AS1,1
COLEC11,33
DHDDS,48
POR,25
HMGN2P5,1
RP5-1068B5.1,1
HSF4,71
OSTN-AS1,1
ELF4,1
CAMK2B,42
RP11-427P5.2,1
PISD,83
PRDX4,35
AQP1,38
LENG8,172
HSFY7P,1
C6orf25,44
TMEM107,15
AF121898.3,1
SCN4A,278
AL162497.1,1
RP11-321E8.5,1
RP1-104O17.1,1
OR7E23P,1
RP11-95H8.5,1
TLK1,183
DBNL,73
MEN1,66
XAF1,35
ECHDC1,67
SIK3,155
MTMR14,15
USP4,113
LTBP1,19
CR769776.3,1
ZC2HC1C,73
GPAT2,37
RP11-777J24.1,1
AC005281.2,1
CD33,27
AC018804.6,1
RP1-293L6.1,1
CHCHD4P4,1
AC005189.6,1
GGA1,25
AC003104.1,1
PSMD14,13
MEST,19
ZNF877P,1
IGKV1OR9-2,1
OSR2,61
PML,119
ZNF621,78
OGDHL,167
OCA2,52
AC018735.1,1
MDC1,374
RP1-67A8.3,1
LL22NC03-80A10.11,1
RP11-473E2.4,1
COL6A2,27
AC034187.2,1
AC140481.2,15
RP11-67L3.4,1
RP11-474O21.2,1
KIAA1429,218
RP11-92C4.3,1
RP11-90H3.2,1
PIGV,11
SCRN3,1
GTF3A,59
SBNO2,257
MPDZ,9
RP11-328D5.1,1
HMMR,196
AC068491.2,1
AC068831.3,1
CNGA3,163
GART,29
FGF12,34
ACTA2-AS1,1
GTF3C2,13
NOL8,119
PPIAP17,1
XXyac-YX65C7_A.3,1
LINC00384,1
FBRSL1,212
LMBR1,15
CYB561D1,21
AC073465.3,1
APOO,34
HDLBP,30
RGPD5,19
PGAM3P,1
GAL3ST1,39
AC094019.4,1
RPSAP41,1
SCLT1,48
ITPRIPL1,101
XPO1,9
POR,94
NCAPD2P1,1
SHPRH,379
OR2W6P,1
CYP2F2P,1
RP1-125N5.2,1
ZNF136,23
RP11-344B5.3,1
STXBP4,114
AC092013.1,1
RP11-666A1.3,1
AL353698.1,7
RP4-583P15.11,1
RP11-351O1.3,1
DBF4,17
AC004869.3,1
LRRC8D,47
PCBP2,52
AC099552.4,3
COX7A1,3
AC096582.7,1
RP11-573D15.3,1
RNF148,56
RP11-347D21.1,1
RP11-778D9.4,1
PQLC1P1,1
MSANTD1,77
PDLIM2,29
RP11-488P3.1,1
CCNA1,80
SAP30L,45
RP11-526P5.1,1
CDC42EP1,14
GNAI2,32
RP1-91J24.3,1
PTK2,61
RP11-74C1.4,1
DGKA,23
CSTF3,28
AC073115.7,1
AC007682.1,1
RP11-776H12.1,1
BCAS1,83
PLP1,15
COA1,19
HDAC11,76
LIMK1,43
HP1BP3,102
LINC01014,1
RP11-112L6.3,1
AC079779.6,1
ADD2,119
APOL1,27
KIAA1217,143
ADH5P3,1
FAM138B,1
TKTL1,27
AL162415.1,1
RP13-93L13.2,1
GNB1,40
COBLL1,1
DNAJC19P4,1
EPHA4,11
MRPL50P1,1
RP11-408E5.6,1
AKR1D1,67
AC104809.3,275
ZNF140,18
RHBDD1,7
SLC25A48,42
C17orf62,39
MXD3,58
TRAPPC12,1
AQP1,22
SACM1L,11
PAPPA-AS2,1
ZYX,21
TNK2,68
LINC01071,1
HARS,128
RP11-523O18.7,1
KNTC1,25
AC090286.2,1
ADARB1,1
RP11-32I2.1,1
BDH1,48
KRT8P51,1
RP11-127L20.3,1
RP11-423O2.2,1
NKAIN1P1,1
DHRSX-IT1,1
RP1-43E13.2,1
IDE,57
HAX1,45
RP11-327L3.3,1
ADAMTS16,1
PDK1,49
AC009237.13,1
NEDD4L,163
HMGN2P20,1
FARSBP1,1
UBXN11,50
GPSM2,15
PSMA2,7
RBMY2NP,1
PNCK,20
HNF4GP1,1
AC007283.5,1
DYNC1LI2,59
TBCCD1,39
CFL1P3,1
AC067961.1,1
RP11-460N20.5,1
ITGAL,64
RP11-317P15.3,1
SERPINB13,41
RP3-434O14.8,1
FANCD2P2,1
EXOG,28
TNRC18,90
AJ006995.3,1
AC007679.4,1
RP11-498J9.2,1
CARF,7
TAF6,59
ATP6AP2,41
PRSS23,86
KLHL24,16
AC097713.4,1
CPA5,72
P4HA2,48
ZFYVE20,11
CBX1P4,1
LMAN2L,26
HDAC6,39
ZFR2,3
PSMG4,23
NEURL1,46
PLXNB2,15
TPST2,17
MYH14,547
RTN2,37
LINC00431,1
TMEM99,13
LIPT1,47
RP3-400N23.6,1
USP12PX,1
RP11-104D3.2,1
CXorf51B,1
AC108479.2,1
RP4-549F15.1,1
AKR1B1,47
RP11-556N4.1,1
MACROD2-AS1,1
RP11-223P11.3,1
NFATC4,1
KDELC2,112
PSG4,64
MSL3P1,1
ASB1,11
RP4-738P15.4,1
KRT18P48,1
TYW1B,1
AC116609.3,1
C7orf49,25
CSNK1E,60
AC079154.1,1
SRRT,235
TSPY6P,62
RP5-1119A7.10,1
AC012442.6,1
HUS1,36
AC087431.1,1
AC062032.1,1
RNF24,38
E2F3-IT1,1
RP11-296L22.8,1
RP1-122O8.7,1
ZBTB40-IT1,1
RNF123,155
CARS,13
AC020743.4,1
PDZD7,63
CYTH4,1
AOX1,29
GOLGA6L10,103
BEST1,52
RPL7L1P9,1
RP11-120D5.1,1
CISD3,45
RDM1,55
RBMX2P4,1
SRGAP3-AS3,1
AC104777.2,1
GALNT14,107
RP11-384B12.3,1
ZNF638,60
LINC00266-3,1
PXDN,116
SLC4A7,215
CPPED1,36
AUTS2,15
MAP4,13
FUBP1,105
RP11-385F5.4,1
AC011193.1,1
AC019330.1,1
PACS2,163
LARP1B,187
XXyac-YR12DB5.1,1
PFN4,1
EIF3D,59
CYP2D7P,17
AC002076.10,1
AC005532.5,1
AC087073.1,1
DOCK8,422
AC024082.3,1
DMAP1,46
AC007003.1,1
RP11-325P15.2,1
TRMT2A,129
SPECC1L,60
NDUFAF7,55
PTCH1,208
RPL10P3,1
GGT1,23
ERBB4,27
S100A1,11
FAM58A,21
TANK,31
MAPK10,1
BCS1L,19
AOAH,19
C1orf170,97
C10orf71-AS1,1
LCP1,43
GOLGA4,616
RP1-153P14.3,1
LL0YNC03-29C1.1,1
GLIPR1L2,58
RP4-739H11.3,1
SHH,49
ARMC9,37
RP11-100G15.5,1
RP11-229P13.22,1
LRP1B,130
RP11-305E17.4,1
TNRC18,601
KLHL18,12
GAS7,113
CLIC1P1,1
TSFM,39
TRERNA1,1
VGLL1,27
RP11-316K19.3,1
TMEM63A,18
AC006335.11,1
MAPKAPK3,67
ARPC1A,55
ING3,81
POTEB2,86
AP000998.2,1
AC092646.1,1
METTL8,52
RP11-109P14.9,1
RHOQ,7
ATP6V1B1,11
SLTM,243
NPR3,76
CAPN10,17
GULP1,27
MTURN,11
TTLL13,205
IL3RA,35
CLEC5A,35
C7orf25,111
MDGA1,184
ZFR2,36
DMBT1P1,1
ARRDC1,37
CHFR,130
AARSD1,19
OS9,126
AC020571.3,1
SLC23A3,9
CHL1,35
C1orf234,38
CYP2D8P,1
SNX17,7
FMO8P,1
AC092628.3,1
SEC14L3,53
GART,46
H3F3BP1,1
AC091069.1,1
OR2A9P,1
TMEM187,1
ZNF776,3
DNMT3L,33
PRB3,1
RP11-24C3.2,1
AC012365.3,1
STRC,37
MTND1P32,1
G2E3,136
RP4-669H2.1,1
INTS6-AS1,1
UBE2V1P1,1
ELL2,92
HMGN5,35
ZNF625,97
PIGU,17
PSMD2,123
DOCK4,418
RP11-578F21.10,1
BGN,53
RAB15,32
ACTBP12,1
NCKIPSD,69
RP11-491H19.1,1
RP1-288L1.4,1
ZNF561,11
GATSL3,17
KRT18P23,1
FBLN1,31
ERAP2,183
RP11-144G16.1,1
NAP1L1,83
CTTNBP2,54
AKIRIN1,40
ZNF568,104
RFC4,84
TMEM50B,7
MAP7,208
RP13-225O21.5,1
FBXO45,15
AP000356.2,1
AC093381.2,1
AFF3,27
TAF6,7
PPIAP13,1
ZNRF2P1,1
NEK1,303
SCP2,37
SLC2A6,31
PRM2,52
MMP3,31
TTLL4,29
FTH1P1,1
